,Jac_modA,Jac_modB,Jac_modC,Jac_ensamble,DSC_modA,DSC_modB,DSC_modC,DSC_ensamble,placa
142.png,0.4655,0.3264,0.3264,0.3264,0.6352,0.4922,0.4922,0.4922,1
140.png,0.5,0.413,0.413,0.413,0.6666,0.5846,0.5846,0.5846,1
186.png,0.6876,0.656,0.656,0.656,0.8149,0.7923,0.7923,0.7923,1
13.png,0.4416,0.2183,0.2183,0.2183,0.6126,0.3583,0.3583,0.3583,1
159.png,0.6284,0.529,0.529,0.529,0.7718,0.692,0.692,0.692,1
219.png,0.0004,0.0019,0.0019,0.0019,0.0004,0.0034,0.0034,0.0034,1
14.png,0.7096,0.5075,0.5075,0.5075,0.8301,0.6733,0.6733,0.6733,1
249.png,0.4329,0.3304,0.3304,0.3304,0.6042,0.4966,0.4966,0.4966,1
116.png,0.2733,0.1677,0.1677,0.1677,0.4292,0.2871,0.2871,0.2871,1
252.png,0.7628,0.6254,0.6254,0.6254,0.8655,0.7695,0.7695,0.7695,1
181.png,0.7484,0.7051,0.7051,0.7051,0.8561,0.8271,0.8271,0.8271,1
125.png,0.318,0.197,0.197,0.197,0.4826,0.3291,0.3291,0.3291,1
250.png,0.7346,0.5676,0.5676,0.5676,0.847,0.7242,0.7242,0.7242,1
154.png,0.7581,0.6416,0.6416,0.6416,0.8624,0.7816,0.7816,0.7816,1
107.png,0.6593,0.4651,0.4651,0.4651,0.7947,0.6349,0.6349,0.6349,1
148.png,0.1316,0.1525,0.1525,0.1525,0.2325,0.2646,0.2646,0.2646,1
177.png,0.7557,0.6766,0.6766,0.6766,0.8609,0.8071,0.8071,0.8071,1
120.png,0.7313,0.3098,0.3098,0.3098,0.8447,0.473,0.473,0.473,1
179.png,0.6568,0.6543,0.6543,0.6543,0.7928,0.791,0.791,0.791,1
185.png,0.5205,0.4897,0.4897,0.4897,0.6846,0.6575,0.6575,0.6575,1
20.png,0.4508,0.3228,0.3228,0.3228,0.6214,0.4881,0.4881,0.4881,1
241.png,0.7458,0.6965,0.6965,0.6965,0.8544,0.8211,0.8211,0.8211,1
182.png,0.8127,0.719,0.719,0.719,0.8967,0.8365,0.8365,0.8365,1
242.png,0.8083,0.726,0.726,0.726,0.894,0.8412,0.8412,0.8412,1
178.png,0.6367,0.365,0.365,0.365,0.778,0.5347,0.5347,0.5347,1
190.png,0.6049,0.4869,0.4869,0.4869,0.7538,0.6549,0.6549,0.6549,1
12.png,0.2471,0.1352,0.1352,0.1352,0.3963,0.2382,0.2382,0.2382,1
108.png,0.6641,0.5345,0.5345,0.5345,0.7981,0.6966,0.6966,0.6966,1
117.png,0.6566,0.4682,0.4682,0.4682,0.7927,0.6378,0.6378,0.6378,1
216.png,0.3308,0.2686,0.2686,0.2686,0.4969,0.4232,0.4232,0.4232,1
16.png,0.6838,0.5615,0.5615,0.5615,0.8122,0.7191,0.7191,0.7191,1
139.png,0.7022,0.6486,0.6486,0.6486,0.825,0.7868,0.7868,0.7868,1
130.png,0.5727,0.5759,0.5759,0.5759,0.7283,0.7309,0.7309,0.7309,1
10.png,0.3669,0.2689,0.2689,0.2689,0.5368,0.4238,0.4238,0.4238,1
123.png,0.62,0.4006,0.4006,0.4006,0.7654,0.572,0.572,0.572,1
112.png,0.5927,0.4366,0.4366,0.4366,0.7443,0.6078,0.6078,0.6078,1
172.png,0.3019,0.3181,0.3181,0.3181,0.4638,0.4827,0.4827,0.4827,1
119.png,0.5406,0.4806,0.4806,0.4806,0.7018,0.6492,0.6492,0.6492,1
134.png,0.3997,0.2954,0.2954,0.2954,0.5711,0.4561,0.4561,0.4561,1
153.png,0.4897,0.3859,0.3859,0.3859,0.6575,0.5569,0.5569,0.5569,1
191.png,0.7346,0.5676,0.5676,0.5676,0.847,0.7242,0.7242,0.7242,1
238.png,0.581,0.3418,0.3418,0.3418,0.7349,0.5095,0.5095,0.5095,1
143.png,0.3789,0.38,0.38,0.38,0.5496,0.5507,0.5507,0.5507,1
129.png,0.619,0.2908,0.2908,0.2908,0.7646,0.4505,0.4505,0.4505,1
246.png,0.7193,0.6807,0.6807,0.6807,0.8367,0.81,0.81,0.81,1
209.png,0.001,0.0006,0.0006,0.0006,0.001,0.0006,0.0006,0.0006,1
114.png,0.6541,0.5052,0.5052,0.5052,0.7908,0.6712,0.6712,0.6712,1
208.png,0.0007,0.0008,0.0008,0.0008,0.0007,0.0012,0.0012,0.0012,1
101.png,0.5246,0.3347,0.3347,0.3347,0.6882,0.5015,0.5015,0.5015,1
145.png,0.7163,0.5392,0.5392,0.5392,0.8347,0.7007,0.7007,0.7007,1
158.png,0.8665,0.7312,0.7312,0.7312,0.9285,0.8448,0.8448,0.8448,1
155.png,0.6686,0.619,0.619,0.619,0.8014,0.7646,0.7646,0.7646,1
100.png,0.4627,0.3794,0.3794,0.3794,0.6327,0.55,0.55,0.55,1
215.png,0.3615,0.3276,0.3276,0.3276,0.531,0.4935,0.4935,0.4935,1
